unique_id,ds,y,day_of_week,holiday_name,tavgCincinnati,prcpCincinnati,tavgToledo,prcpToledo
ohio_energy,1/1/2020,2178164.77,Wednesday,New Year's Day,3.4,0.0,-0.1,0.0
ohio_energy,1/2/2020,2373693.14,Thursday,,5.2,9.9,6.1,0.0
ohio_energy,1/3/2020,2219106.06,Friday,,9.9,17.3,6.8,0.0
ohio_energy,1/4/2020,2394720.14,Saturday,,4.4,1.5,1.9,0.5
ohio_energy,1/5/2020,2292023.08,Sunday,,3.2,0.0,1.3,0.0
ohio_energy,1/6/2020,2453216.24,Monday,,2.3,0.0,2.7,0.0
ohio_energy,1/7/2020,2479010.92,Tuesday,,2.5,0.0,1.1,0.0
ohio_energy,1/8/2020,2566239.53,Wednesday,,1.5,0.0,-2.9,0.0
ohio_energy,1/9/2020,2698036.04,Thursday,,4.2,0.0,0.8,0.0
ohio_energy,1/10/2020,2282420.22,Friday,,12.2,18.0,8.7,11.4
ohio_energy,1/11/2020,2103372.96,Saturday,,15.5,17.3,8.6,39.1
ohio_energy,1/12/2020,2306367.83,Sunday,,4.7,0.3,-0.9,2.5
ohio_energy,1/13/2020,2374397.79,Monday,,5.5,0.0,2.1,0.0
ohio_energy,1/14/2020,2381189.33,Tuesday,,5.3,0.0,2.7,0.0
ohio_energy,1/15/2020,2501319.61,Wednesday,,5.7,0.0,1.9,0.0
ohio_energy,1/16/2020,2542447.41,Thursday,,3.3,0.0,-0.2,0.0
ohio_energy,1/17/2020,2701432.26,Friday,,-1.6,0.0,-4.2,0.0
ohio_energy,1/18/2020,2405262.07,Saturday,,4.3,18.4,0.5,16.0
ohio_energy,1/19/2020,2870161.53,Sunday,,-6.7,0.0,-8.5,0.0
ohio_energy,1/20/2020,2892169.59,Monday,Martin Luther King Jr. Day,-5.9,0.0,-7.5,0.0
ohio_energy,1/21/2020,2880902.66,Tuesday,,-4.3,0.0,-4.4,0.0
ohio_energy,1/22/2020,2995076.07,Wednesday,,-3.9,0.0,-3.5,0.0
ohio_energy,1/23/2020,2683697.06,Thursday,,1.7,1.8,1.2,0.0
ohio_energy,1/24/2020,2458943.03,Friday,,5.5,14.5,2.9,12.4
ohio_energy,1/25/2020,2500691.79,Saturday,,2.4,1.3,2.0,1.5
ohio_energy,1/26/2020,2416325.17,Sunday,,1.2,0.0,0.8,0.0
ohio_energy,1/27/2020,2667752.09,Monday,,-0.3,0.0,1.6,0.0
ohio_energy,1/28/2020,2651781.4,Tuesday,,1.2,0.0,0.9,0.0
ohio_energy,1/29/2020,2626505.2,Wednesday,,1.0,0.0,-0.5,0.0
ohio_energy,1/30/2020,2602524.63,Thursday,,1.4,0.0,-0.7,0.0
ohio_energy,1/31/2020,2634379.5,Friday,,1.5,2.8,-0.2,0.0
ohio_energy,2/1/2020,2399688.51,Saturday,,3.4,0.0,1.2,0.5
ohio_energy,2/2/2020,2209646.0,Sunday,,8.4,0.0,5.5,0.0
ohio_energy,2/3/2020,2370608.57,Monday,,9.9,0.0,4.3,0.0
ohio_energy,2/4/2020,2425118.09,Tuesday,,11.5,8.9,2.2,0.0
ohio_energy,2/5/2020,2689106.34,Wednesday,,1.5,8.4,-1.7,8.9
ohio_energy,2/6/2020,2753287.7,Thursday,,0.6,0.0,-2.6,1.5
ohio_energy,2/7/2020,2801139.7,Friday,,-1.2,2.3,-1.7,0.8
ohio_energy,2/8/2020,2556643.08,Saturday,,-0.4,3.0,-2.3,0.8
ohio_energy,2/9/2020,2547516.69,Sunday,,0.7,4.3,-0.7,6.4
ohio_energy,2/10/2020,2557641.53,Monday,,6.5,2.5,1.6,0.3
ohio_energy,2/11/2020,2606053.46,Tuesday,,2.9,1.8,0.7,0.0
ohio_energy,2/12/2020,2836649.82,Wednesday,,0.6,18.0,-1.1,0.8
ohio_energy,2/13/2020,2833400.11,Thursday,,0.8,1.8,-1.7,1.5
ohio_energy,2/14/2020,3062904.43,Friday,,-7.4,0.0,-9.5,0.0
ohio_energy,2/15/2020,2832449.99,Saturday,,-2.1,0.0,-5.8,0.0
ohio_energy,2/16/2020,2319799.93,Sunday,,3.5,0.0,0.9,0.0
ohio_energy,2/17/2020,2642281.4,Monday,Washington's Birthday,3.5,0.0,0.0,0.0
ohio_energy,2/18/2020,2507363.01,Tuesday,,8.6,3.6,3.0,1.5
ohio_energy,2/19/2020,2745422.32,Wednesday,,1.2,0.0,-2.4,0.0
